"","지역","최근.매매.연도","평당가격"
"1","강남구",2020,3858.88700564972
"2","강동구",2020,3768.34371108344
"3","강북구",2020,3862.26790450928
"4","강서구",2020,3921.01734906315
"5","관악구",2020,3907.56556556557
"6","광진구",2020,3904.54916067146
"7","구로구",2020,3842.13689604685
"8","금천구",2020,3834.82930513595
"9","노원구",2020,3811.15371809101
"10","도봉구",2020,3842.5704338511
"11","동대문구",2020,3933.66945400885
"12","동작구",2020,4001.16846846847
"13","마포구",2020,3849.43572721786
"14","서대문구",2020,3816.27910958904
"15","서초구",2020,3877.18736616702
"16","성동구",2020,3971.63557692308
"17","성북구",2020,3867.07428872497
"18","송파구",2020,3801.21896955504
"19","양천구",2020,3857.97254901961
"20","용산구",2020,3936.5946717412
"21","은평구",2020,3850.35545556805
"22","종로구",2020,3882.14108251996
"23","중구",2020,3985.65249199817
"24","중랑구",2020,3908.99197190166
"25","강남구",2021,3659.34545454545
"26","강동구",2021,3900.89393939394
"27","강북구",2021,4153.28699106256
"28","강서구",2021,4401.66334661355
"29","관악구",2021,3888.32743362832
"30","광진구",2021,4163.39555202542
"31","구로구",2021,4393.17218543046
"32","금천구",2021,4375.38670694864
"33","노원구",2021,4377.66786570743
"34","도봉구",2021,4258.74820880246
"35","동대문구",2021,4159.81716118685
"36","동작구",2021,4080.46280991736
"37","마포구",2021,4208.84335443038
"38","서대문구",2021,4347.91223021583
"39","서초구",2021,3658.85572139303
"40","성동구",2021,4292.0406567631
"41","성북구",2021,4181.99816345271
"42","송파구",2021,3735.51048951049
"43","양천구",2021,4414.59550561798
"44","용산구",2021,4357.25427682737
"45","은평구",2021,4566.04388297872
"46","종로구",2021,4282.90882352941
"47","중구",2021,4318.30903328051
"48","중랑구",2021,4119.16066945607
