"","지역","범죄발생수","보건기관수","교육기관수","유흥업소수","국립공원수","해당.지역.지하철.지점수","평당가격"
"1","금천구",3105,2,54,65,4,1,3942.94078549849
"2","강북구",3838,3,59,94,4,3,3963.60131396957
"3","관악구",5328,3,94,259,2,4,3904.01632653061
"4","양천구",3214,4,108,7,5,5,4001.98255813953
"5","서대문구",2943,3,65,46,4,7,3967.27421332244
"6","구로구",4707,3,92,46,4,7,3979.36558548653
"7","도봉구",2110,2,76,26,6,8,3985.54008438819
"8","성북구",2877,2,111,9,3,9,3981.88918647472
"9","동대문구",3692,6,79,106,4,10,4019.64695121951
"10","강서구",4924,4,142,164,9,10,4045.1986618631
"11","광진구",4011,4,78,19,2,11,4002.00358851675
"12","서초구",5542,3,82,100,6,12,3838.52246696035
"13","동작구",3400,3,80,61,7,12,4015.36168639053
"14","강동구",4014,4,98,160,7,12,3787.05668449198
"15","중랑구",4268,4,78,30,6,13,3987.77227101631
"16","용산구",3313,2,47,37,2,15,4096.26652892562
"17","은평구",3880,4,117,104,7,15,4063.08181818182
"18","종로구",3846,6,60,245,12,15,4032.95572772551
"19","노원구",4153,4,165,31,2,16,3990.39226100152
"20","성동구",2512,3,71,26,5,18,4093.63560583507
"21","마포구",4842,1,72,76,5,19,3948.66928789865
"22","중구",4327,4,48,288,5,25,4107.37257175993
"23","송파구",5698,3,141,130,7,29,3791.79438314945
"24","강남구",7304,7,120,400,7,31,3827.53047619048
