기간,자치구,합계_소계,합계_관용,합계_자가용,,,,,,,,,,,,,,,,,,,,
기간,자치구,소계,관용,자가용,,,,,,,,,,,,,,,,,,,,
2021.04,서울시,"3,159,075","12,421","2,944,563",,,,,,,,,,,,,,,,,,,,
2021.04,종로구,"49,926","3,697","44,541",,,,,,,,,,,,,,,,,,,,
2021.04,중구,"52,894","1,224","45,619",,,,,,,,,,,,,,,,,,,,
2021.04,용산구,"79,447",335,"77,028",,,,,,,,,,,,,,,,,,,,
2021.04,성동구,"106,551",345,"93,724",,,,,,,,,,,,,,,,,,,,
2021.04,광진구,"98,594",297,"92,849",,,,,,,,,,,,,,,,,,,,
2021.04,동대문구,"98,224",299,"92,930",,,,,,,,,,,,,,,,,,,,
2021.04,중랑구,"114,271",250,"104,568",,,,,,,,,,,,,,,,,,,,
2021.04,성북구,"120,985",293,"115,494",,,,,,,,,,,,,,,,,,,,
2021.04,강북구,"75,600",317,"71,036",,,,,,,,,,,,,,,,,,,,
2021.04,도봉구,"95,573",263,"88,001",,,,,,,,,,,,,,,,,,,,
2021.04,노원구,"152,746",322,"143,259",,,,,,,,,,,,,,,,,,,,
2021.04,은평구,"131,942",298,"124,620",,,,,,,,,,,,,,,,,,,,
2021.04,서대문구,"89,532",456,"83,274",,,,,,,,,,,,,,,,,,,,
2021.04,마포구,"119,984",339,"112,636",,,,,,,,,,,,,,,,,,,,
2021.04,양천구,"151,504",315,"142,584",,,,,,,,,,,,,,,,,,,,
2021.04,강서구,"204,405",336,"185,293",,,,,,,,,,,,,,,,,,,,
2021.04,구로구,"144,711",298,"132,105",,,,,,,,,,,,,,,,,,,,
2021.04,금천구,"89,083",139,"82,655",,,,,,,,,,,,,,,,,,,,
2021.04,영등포구,"146,637",370,"137,152",,,,,,,,,,,,,,,,,,,,
2021.04,동작구,"105,872",322,"102,756",,,,,,,,,,,,,,,,,,,,
2021.04,관악구,"118,947",315,"113,094",,,,,,,,,,,,,,,,,,,,
2021.04,서초구,"178,271",514,"167,156",,,,,,,,,,,,,,,,,,,,
2021.04,강남구,"235,769",395,"217,129",,,,,,,,,,,,,,,,,,,,
2021.04,송파구,"245,411",389,"231,943",,,,,,,,,,,,,,,,,,,,
2021.04,강동구,"152,196",293,"143,117",,,,,,,,,,,,,,,,,,,,
2021.04,기타,-,-,-,,,,,,,,,,,,,,,,,,,,
